ht_in,male,wages,,
67,1,12000,,
,0,,,
74,0,60000,,
,1,,,
,0,,,
,0,,,
63,0,42000,,
66,0,38000,,
68,0,,,
,0,,,
74,1,2000,,
,0,,,
63,0,47000,,
70,1,20000,,
,1,,,
70,1,,,
71,1,25000,,
,1,,,
68,0,77000,,
74,1,45000,,
75,1,40000,,
65,0,42594,,
,0,,,
65,0,,,
70,0,54000,,
68,1,,,
62,0,28000,,
69,1,14000,,
64,0,27000,,
70,1,121993,,
,1,,,
71,1,6000,,
70,1,46000,,
67,1,42000,,
,1,121993,,
69,1,64000,,
65,0,70000,,
66,1,74000,,
73,1,30000,,
,1,,,
65,0,24000,,
62,0,54000,,
,0,,,
66,0,42765,,
70,1,40000,,
64,0,42042,,
64,0,,,
74,1,,,
64,1,28000,,
70,0,,,
65,0,40000,,
,1,,,
65,0,2000,,
65,0,12000,,
71,1,58500,,
70,1,15000,,
71,1,16500,,
69,1,40000,,
,1,,,
71,1,27000,,
63,0,6600,,
67,1,300,,
65,1,,,
67,1,24000,,
68,1,,,
62,0,25000,,
71,1,48000,,
62,0,,,
,1,,,
69,1,47500,,
66,1,,,
,1,,,
,1,,,
,1,,,
,0,,,
,1,121993,,
71,1,40000,,
74,1,121993,,
64,0,43000,,
65,0,20000,,
,0,,,
62,0,20000,,
71,1,23000,,
73,1,65000,,
75,1,,,
76,1,,,
66,0,29000,,
70,1,,,
67,1,37000,,
54,1,40000,,
,0,,,
68,1,600,,
65,0,28000,,
75,1,,,
73,1,,,
64,1,12000,,
63,0,20000,,
65,0,35000,,
,1,,,
,0,0,,
63,0,30000,,
68,1,,,
63,0,,,
76,1,27000,,
62,0,,,
65,0,40000,,
74,1,30000,,
89,0,17000,,
,1,,,
66,0,1000,,
71,1,36000,,
62,0,,,
66,0,,,
65,0,11000,,
66,0,,,
76,1,,,
78,1,,,
64,0,30000,,
67,0,800,,
74,1,9000,,
,1,,,
,0,,,
,1,32000,,
61,0,10000,,
62,0,,,
67,1,25000,,
,1,,,
,0,,,
75,1,,,
74,1,,,
,0,,,
69,1,75000,,
65,0,36500,,
,0,,,
,0,,,
68,1,,,
,1,,,
,0,,,
65,1,26500,,
68,0,13000,,
66,0,37500,,
,0,,,
,1,,,
70,1,49000,,
63,0,50000,,
,0,,,
,1,,,
70,1,75000,,
62,0,35000,,
65,0,45000,,
69,1,28000,,
,1,1000,,
71,1,24000,,
63,0,36000,,
70,1,6000,,
67,0,25000,,
71,0,,,
